id;start_date;end_date;language
1;2024-03-10T12:47:44;2024-03-09T17:00:58;FRENCH
2;2024-03-09T16:56:14;2024-03-10T05:28:32;FRENCH
3;2024-03-09T16:53:25;2024-03-10T01:34:33;SPANISH
4;2024-03-10T07:09:11;2024-03-10T10:48:01;FRENCH
5;2024-03-10T03:00:41;2024-03-10T10:01:07;FRENCH
6;2024-03-09T13:50:07;2024-03-09T23:52:31;ENGLISH
7;2024-03-09T16:21:20;2024-03-10T04:43:55;ENGLISH
8;2024-03-09T18:56:01;2024-03-09T15:03:56;ENGLISH
9;2024-03-10T08:16:34;2024-03-09T19:16:47;SPANISH
10;2024-03-09T19:59:57;2024-03-09T13:23:08;SPANISH
