id;street_address;postal_code;city;state_province
1;gee suppression;shortwave what;South Walkerberg;ack the
2;throughout;who hmph;Apple Valley;nor whoa
3;uh-huh pfft innocently;because;East Niafurt;interpolate
4;times as reschedule;rosy potentially boo;East Jadyntown;if
5;sans share expound;whoa absent aw;North Jocelyn;smoothly who however
6;biff;rear vastly whose;Aleenbury;versus if stipple
7;yum beside;carefully boohoo out;Port Andresfield;jubilantly willfully
8;append drat;rudely;Fort Eve;restfully um usually
9;armadillo surface bah;pedestrianize above;North Eltonfort;abaft octagon off
10;ruby;successfully;Pueblo;emphasise
